City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,kerema,-7.9631,145.7785,27.72,76,91,3.9,PG,1681866690
264,santo antonio do ica,-3.1022,-67.9397,26.01,80,91,0.22,BR,1681866690
265,thal,35.4791,72.2439,6.84,98,100,1.6,PK,1681866502
266,kone,-21.0595,164.8658,26.39,76,81,2.65,NC,1681866416
267,kayangel,8.0823,134.7173,28.35,77,60,5.34,PW,1681866691
268,mountain home,43.133,-115.6912,3.01,76,100,2.57,US,1681866691
269,kargopol',61.5071,38.9456,1.09,87,100,3.07,RU,1681866691
270,santa cruz,-17.8,-63.1667,18.16,95,100,3.96,BO,1681866502
271,yanjiang,30.1211,104.6481,24.72,72,37,1.29,CN,1681866691
272,kutum,14.2,24.6667,22.69,12,77,2.16,SD,1681866692
273,praia da vitoria,38.7333,-27.0667,13.44,71,26,4.89,PT,1681866692
274,sarina,-21.4333,149.2167,29.04,58,1,4.42,AU,1681866693
275,fada,9.5667,8.3,23.74,66,79,0.22,NG,1681866694
276,somerton,32.5964,-114.7097,29.5,15,0,7.2,US,1681866695
277,newman,37.3138,-121.0208,17.13,38,96,2.68,US,1681866695
278,kabinda,-6.1333,24.4833,17.39,96,98,1.9,CD,1681866695
279,zhezqazghan,47.7833,67.7667,-1.68,59,0,3.0,KZ,1681866696
280,dryden,49.7833,-92.7503,-1.07,85,100,2.5,CA,1681866642
281,trairi,-3.2778,-39.2689,24.42,91,100,1.95,BR,1681866669
282,mezhdurechenskiy,59.6,65.9333,-4.83,75,22,1.2,RU,1681866696
283,hirara,24.8,125.2833,24.35,92,100,10.15,JP,1681866696
284,merritt,50.1123,-120.7942,5.11,69,90,2.65,CA,1681866697
285,jiwani,25.05,61.7417,25.83,64,100,3.0,PK,1681866697
286,vorgashor,67.5833,63.95,-20.51,100,94,2.67,RU,1681866624
287,katsuura,35.1333,140.3,20.12,73,4,6.78,JP,1681866667
288,rongelap,11.1635,166.8941,26.67,78,100,9.89,MH,1681866697
289,turkmenbasy,40.0222,52.9552,11.84,28,8,5.31,TM,1681866698
290,lagoa,39.05,-27.9833,14.4,72,90,6.95,PT,1681866698
291,sur,22.5667,59.5289,26.72,64,87,1.73,OM,1681866589
292,doganhisar,38.1463,31.6765,8.49,61,0,2.43,TR,1681866698
293,winnemucca,40.973,-117.7357,5.03,26,20,5.66,US,1681866698
294,winburg,-28.518,27.0093,11.75,40,0,1.85,ZA,1681866699
295,champerico,14.3,-91.9167,29.13,65,48,1.93,GT,1681866699
296,sao felix do xingu,-6.6447,-51.995,22.36,98,100,0.84,BR,1681866699
297,gucheng chengguanzhen,32.266,111.6348,23.8,55,100,0.55,CN,1681866700
298,vila velha,-20.3297,-40.2925,26.97,88,0,2.57,BR,1681866700
299,melekeok village,7.4957,134.6367,30.31,74,75,4.63,PW,1681866700
300,zouerate,22.7187,-12.4521,20.58,47,0,5.23,MR,1681866700
301,urucurituba,-2.6833,-57.6667,23.88,97,100,1.3,BR,1681866701
302,bonthe,7.5264,-12.505,26.82,79,100,2.7,SL,1681866701
303,tucumcari,35.1717,-103.725,25.52,8,0,8.75,US,1681866701
304,ta`u,-14.2336,-169.5144,26.96,80,100,7.09,AS,1681866701
305,nawabshah,26.2483,68.4096,22.98,68,62,0.0,PK,1681866702
306,caconda,-13.7333,15.0667,15.93,94,100,2.39,AO,1681866702
307,hajiganj,23.2511,90.8592,28.21,80,0,4.52,BD,1681866702
308,papao,-17.75,-149.55,30.37,75,100,6.89,PF,1681866651
309,palmer,42.1584,-72.3287,9.75,58,100,3.6,US,1681866703
310,kotlas,61.2611,46.6556,-1.41,94,8,1.68,RU,1681866703
311,carutapera,-1.195,-46.02,24.23,92,100,1.24,BR,1681866703
312,nizhneangarsk,55.7833,109.55,-4.55,56,100,2.9,RU,1681866703
313,sevastopol,44.6,33.5333,11.67,60,100,1.05,UA,1681866689
314,staryye ozinki,51.1786,49.6769,7.52,45,100,3.33,RU,1681866704
315,tura,25.5198,90.2201,27.31,64,0,3.22,IN,1681866704
316,bowen,-20.0167,148.2333,27.03,62,1,5.11,AU,1681866705
317,yaren,-0.5472,166.916,28.61,75,31,4.03,NR,1681866705
318,hecun,36.5333,114.1111,22.44,38,0,2.57,CN,1681866705
319,sarmiento,-45.5882,-69.07,13.08,62,55,6.64,AR,1681866705
320,mata-utu,-13.2816,-176.1745,28.37,75,100,5.16,WF,1681866705
321,sitka,57.0531,-135.33,8.94,49,0,2.06,US,1681866694
322,klyuchi,52.2667,79.1667,-7.51,78,11,4.45,RU,1681866637
323,mil'kovo,55.6078,37.7956,9.27,79,14,3.28,RU,1681866706
324,mejit,10.2753,170.8646,26.75,79,100,8.15,MH,1681866652
325,coahuayana de hidalgo,18.7,-103.6583,25.61,64,32,2.12,MX,1681866707
326,san pedro pochutla,15.7333,-96.4667,29.28,73,94,2.79,MX,1681866707
327,narnaul,28.0444,76.1083,26.02,45,73,1.39,IN,1681866707
328,arraial do cabo,-22.9661,-42.0278,24.95,83,100,4.25,BR,1681866564
329,fisterra,42.9049,-9.2629,13.34,74,39,2.56,ES,1681866707
330,emerald,-23.5333,148.1667,25.75,64,0,3.74,AU,1681866560
331,meulaboh,4.1363,96.1285,25.63,87,100,1.21,ID,1681866708
332,utrik,11.2278,169.8474,26.4,80,100,8.54,MH,1681866612
333,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,75,75,6.0,RU,1681866708
334,andovoranto,-18.95,49.1,22.69,92,82,3.91,MG,1681866708
335,hami,42.8,93.45,8.07,22,100,11.14,CN,1681866709
336,tual,-5.6667,132.75,27.85,75,51,3.14,ID,1681866709
337,mahdia,35.5047,11.0622,14.97,78,58,4.26,TN,1681866709
338,rikaze,29.25,88.8833,6.35,41,39,1.17,CN,1681866709
339,kanniyakumari,8.0833,77.5667,27.77,81,7,3.25,IN,1681866709
340,puerto aysen,-45.4,-72.7,10.27,99,100,2.05,CL,1681866710
341,cape coast,5.1053,-1.2466,27.16,84,100,2.21,GH,1681866710
342,kerikeri,-35.2268,173.9474,20.51,95,87,0.89,NZ,1681866710
343,masterton,-40.9597,175.6575,15.87,97,100,1.33,NZ,1681866645
344,abadeh,31.1608,52.6506,10.47,37,0,1.05,IR,1681866710
345,znamenskoye,57.1281,73.8282,-7.59,70,13,2.05,RU,1681866711
346,fort st. john,56.2499,-120.8529,8.7,38,100,6.28,CA,1681866542
347,waingapu,-9.6567,120.2641,27.61,77,34,5.96,ID,1681866711
348,taroudant,30.4703,-8.877,16.21,86,100,2.13,MA,1681866711
349,buala,-8.145,159.5921,29.19,65,50,0.68,SB,1681866712
350,kentau,43.5206,68.5094,2.99,51,0,4.39,KZ,1681866712
351,tomatlan,19.9333,-105.25,26.03,53,100,2.44,MX,1681866712
352,dawei,14.0833,98.2,28.82,67,88,0.8,MM,1681866491
353,monroeville,40.4212,-79.7881,7.57,65,0,1.54,US,1681866619
354,villa gesell,-37.2639,-56.973,8.92,67,28,6.93,AR,1681866712
355,aljezur,37.3191,-8.8033,14.56,73,94,1.27,PT,1681866713
356,victoria point,-27.5833,153.3,25.8,65,60,3.58,AU,1681866713
357,jalal-abad,40.9333,73.0,3.8,68,6,2.18,KG,1681866693
358,san luis de la loma,17.2706,-100.8939,27.12,71,8,2.88,MX,1681866713
359,sisimiut,66.9395,-53.6735,-7.31,87,100,3.51,GL,1681866713
360,bel ombre,-4.6167,55.4167,28.61,75,44,3.9,SC,1681866713
361,bataipora,-22.2953,-53.2711,19.78,98,100,3.3,BR,1681866713
362,shendi,16.6915,33.4341,26.84,8,34,4.8,SD,1681866714
